Customer #,Customer Name,Contact,Phone #,Email,Website,Type,Status,Business Type,Parent Company,Since,Priority,Area,Sales Rep,Comm.%,Sales Rep #2,Comm.% #2,Factoring,Division,Department,Class,Source,Channel,D.Seller ID,Bill to City,Bill to State,Bill to Zip Code,Ship to City,Ship to State,Ship to Zip Code
AMZ-eCom,AMZ eCom,Alex Reed,(213) 555-1001,amz-ecom@customers.example.com,www.amz-ecom-shop.example.com,Ecommerce,Active,,,2024-01-15T00:00:00,,West,Sam Lee,3%,Rina Patel,1%,0,,,,,,,Los Angeles,CA,90001,Los Angeles,CA,90002
eBay,eBay,Morgan Lee,(408) 555-1301,ebay@customers.example.com,www.ebay-market.example.com,Ecommerce,Active,,,2024-01-18T00:00:00,,West,Dana Ross,2%,Eli Grant,1%,0,,,,,,,San Jose,CA,95110,San Jose,CA,95111
Etsy-LS,Etsy LS,Alex Reed,(415) 555-1401,etsy-ls@customers.example.com,www.etsy-ls-market.example.com,Ecommerce,Active,,,2024-01-19T00:00:00,,West,Sam Lee,3%,Eli Grant,2%,0,,,,,,,San Francisco,CA,94102,San Francisco,CA,94103
Etsy-VS,Etsy VS,Jamie Clark,(213) 555-1501,etsy-vs@customers.example.com,www.etsy-vs-market.example.com,Ecommerce,Active,,,2024-01-20T00:00:00,,West,Rina Patel,4%,Dana Ross,2%,0,,,,,,,Los Angeles,CA,90003,Los Angeles,CA,90004
JCPenney,JCPenney,Alex Reed,(619) 555-2201,jcpenney@customers.example.com,www.jcpenney-retail.example.com,Ecommerce,Active,,,2024-01-27T00:00:00,,West,Rina Patel,4%,Dana Ross,1%,0,,,,,,,San Diego,CA,92105,San Diego,CA,92106
Macys,Macys,Taylor Kim,(415) 555-2401,macys@customers.example.com,www.macys-retail.example.com,Ecommerce,Active,,,2024-01-29T00:00:00,,West,Dana Ross,6%,Eli Grant,3%,0,,,,,,,San Francisco,CA,94106,San Francisco,CA,94107
Magento,Magento,Morgan Lee,(213) 555-2501,magento@customers.example.com,www.magento-platform.example.com,Ecommerce,Active,,,2024-01-30T00:00:00,,West,Sam Lee,2%,Rina Patel,1%,0,,,,,,,Los Angeles,CA,90007,Los Angeles,CA,90008
Mirakl-Kohls,Mirakl Kohls,Jamie Clark,(408) 555-2301,mirakl-kohls@customers.example.com,www.mirakl-kohls-market.example.com,Ecommerce,Active,,,2024-01-28T00:00:00,,West,Eli Grant,3%,Sam Lee,2%,0,,,,,,,San Jose,CA,95114,San Jose,CA,95115
re-Coastal-BS,Coastal Bloom Studio,Blake Bryant,(619) 278-1102,re-coastal-bs@customers.example.com,www.re-coastal-bs.example.com,Retail,Active,,,2024-02-01T00:00:00,,West,Rina Patel,8%,Chris Wong,2%,0,,,,,,,San Diego,CA,92118,San Diego,CA,92318
re-Sunset-AB,Sunset Avenue Boutique,Yvette White,(949) 418-1096,re-sunset-ab@customers.example.com,www.re-sunset-ab.example.com,Retail,Active,,,2024-01-31T00:00:00,,West,Sam Lee,7.00%,Rina Patel,1%,0,,,,,,,Irvine,CA,92618,Irvine,CA,92818
Shopify,Shopify,Alex Reed,(949) 555-2601,shopify@customers.example.com,www.shopify-commerce.example.com,Ecommerce,Active,,,2024-01-31T00:00:00,,West,Eli Grant,7.00%,Dana Ross,4%,0,,,,,,,Irvine,CA,92608,Irvine,CA,92609
Squarespace,Squarespace,Jamie Clark,(619) 555-2701,squarespace@customers.example.com,www.squarespace-sites.example.com,Ecommerce,Active,,,2024-02-01T00:00:00,,West,Rina Patel,3%,Sam Lee,2%,0,,,,,,,San Diego,CA,92107,San Diego,CA,92108
Veeqo-Amazon,Veeqo Amazon,Jamie Clark,(949) 555-1101,veeqo-amazon@customers.example.com,www.veeqo-amazon-shop.example.com,Ecommerce,Active,,,2024-01-16T00:00:00,,West,Sam Lee,4%,Rina Patel,2%,0,,,,,,,Irvine,CA,92602,Irvine,CA,92603
Walmart-eComm,Walmart eComm,Morgan Lee,(415) 555-2901,walmart-ecomm@customers.example.com,www.walmart-ecomm-store.example.com,Ecommerce,Active,,,2024-02-03T00:00:00,,West,Sam Lee,8%,Rina Patel,4%,0,,,,,,,San Francisco,CA,94108,San Francisco,CA,94109
wh-Golden-SA,Golden State Apparel,Noah Nash,(408) 662-1078,wh-golden-sa@customers.example.com,www.wh-golden-sa.example.com,Wholesale,Active,,,2024-01-28T00:00:00,,West,Rina Patel,4%,Chris Wong,7.00%,0,,,,,,,San Jose,CA,95123,San Jose,CA,95323
wh-Harbor-WC,Harbor West Collective,Uri Thomas,(213) 310-1090,wh-harbor-wc@customers.example.com,www.wh-harbor-wc.example.com,Wholesale,Active,,,2024-01-30T00:00:00,,West,Jordan Kim,6%,Sam Lee,0%,0,,,,,,,Los Angeles,CA,90016,Los Angeles,CA,90216
wh-Pacific-RO,Pacific Ridge Outfitters,Rosa Quinn,(415) 794-1084,wh-pacific-ro@customers.example.com,www.wh-pacific-ro.example.com,Wholesale,Active,,,2024-01-29T00:00:00,,West,Chris Wong,5%,Jordan Kim,8%,0,,,,,,,San Francisco,CA,94116,San Francisco,CA,94316
