Style Code,Sub-Style Code,AgeGroup,ColorMap,CountryofOrigin,DetailImage,DropshipListingTitle,Gender,Keywords,MarketplaceItemName,WebsiteLongDescription,WebsiteProductLandingPage,WebsiteProductTitle,WebsiteShortDescription,Custom Label 0,Custom Label 1,Custom Label 2,Custom Label 3,Custom Label 4,Key Features 1,Key Features 2,Key Features 3,Key Features 4,Key Features 5,Meta Description,Meta Keywords,Meta Title,Dropship Description,Dropship Short Description,Product Long Description,Product Short Description,California Prop 65 Warning Text,Color Selection,Contained Battery Type,Contains Chemical or Aerosol or Pesticide,Contains Electronic Component,Line Sheet Price,Line Sheet Product Description,Line Sheet Product Name,Line Sheet Season,Size Range
173451,173451-1183CITIZEN,Adult,,,173451-1183CITIZEN.jpg,Fashion Item,Women,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/fashion-item,Fashion Item | Fashion Collection,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Fashion Item,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be r,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,,Fashion Item designed for everyday wear with a modern fashion-forward look.,Fashion Item,,
34478006,34478006-BLACK,Adult,Black,,34478006-BLACK.jpg,Black Fashion Item,Women,"fashion item, black, general, fashion",Black Fashion Item | Fashion Collection,The black fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/black-fashion-item,Black Fashion Item | Fashion Collection,Black Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Black,Product type: Fashion Item,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The black fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and ca,"fashion item, black, general, fashion",Black Fashion Item | Fashion Collection,The black fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Black Fashion Item designed for everyday wear with a modern fashion-forward look.,The black fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Black Fashion Item designed for everyday wear with a modern fashion-forward look.,,Black,,,,,Black Fashion Item designed for everyday wear with a modern fashion-forward look.,Black Fashion Item,,
34478006,34478006-BLANCMANGE,Adult,,,34478006-BLANCMANGE.jpg,Fashion Item,Women,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/fashion-item,Fashion Item | Fashion Collection,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Fashion Item,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be r,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,,Fashion Item designed for everyday wear with a modern fashion-forward look.,Fashion Item,,
ADELINE-02,ADELINE-02-BLACK,Adult,Black,,ADELINE-02-BLACK.jpg,Black Footwear,Women,"footwear, black, shoes, fashion",Black Footwear | Fashion Collection,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/black-footwear,Black Footwear | Fashion Collection,Black Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Black,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, black, shoes, fashion",Black Footwear | Fashion Collection,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Black Footwear designed for everyday wear with a modern fashion-forward look.,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Black Footwear designed for everyday wear with a modern fashion-forward look.,,Black,,,,,Black Footwear designed for everyday wear with a modern fashion-forward look.,Black Footwear,,
ADELINE-02,ADELINE-02-CAMEL,Adult,Camel,,ADELINE-02-CAMEL.jpg,Camel Footwear,Women,"footwear, camel, shoes, fashion",Camel Footwear | Fashion Collection,The camel footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/camel-footwear,Camel Footwear | Fashion Collection,Camel Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Camel,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The camel footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, camel, shoes, fashion",Camel Footwear | Fashion Collection,The camel footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Camel Footwear designed for everyday wear with a modern fashion-forward look.,The camel footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Camel Footwear designed for everyday wear with a modern fashion-forward look.,,Camel,,,,,Camel Footwear designed for everyday wear with a modern fashion-forward look.,Camel Footwear,,
ADELINE-02,ADELINE-02-NUDE,Adult,Nude,,ADELINE-02-NUDE.jpg,Nude Footwear,Women,"footwear, nude, shoes, fashion",Nude Footwear | Fashion Collection,The nude footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/nude-footwear,Nude Footwear | Fashion Collection,Nude Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Nude,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The nude footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be ,"footwear, nude, shoes, fashion",Nude Footwear | Fashion Collection,The nude footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Nude Footwear designed for everyday wear with a modern fashion-forward look.,The nude footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Nude Footwear designed for everyday wear with a modern fashion-forward look.,,Nude,,,,,Nude Footwear designed for everyday wear with a modern fashion-forward look.,Nude Footwear,,
ADELINE-02,ADELINE-02-PINK,Adult,Pink,,ADELINE-02-PINK.jpg,Pink Footwear,Women,"footwear, pink, shoes, fashion",Pink Footwear | Fashion Collection,The pink footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/pink-footwear,Pink Footwear | Fashion Collection,Pink Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Pink,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The pink footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be ,"footwear, pink, shoes, fashion",Pink Footwear | Fashion Collection,The pink footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Pink Footwear designed for everyday wear with a modern fashion-forward look.,The pink footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Pink Footwear designed for everyday wear with a modern fashion-forward look.,,Pink,,,,,Pink Footwear designed for everyday wear with a modern fashion-forward look.,Pink Footwear,,
ADELINE-02,ADELINE-02-WHITE,Adult,White,,ADELINE-02-WHITE.jpg,White Footwear,Women,"footwear, white, shoes, fashion",White Footwear | Fashion Collection,The white footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/white-footwear,White Footwear | Fashion Collection,White Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: White,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The white footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, white, shoes, fashion",White Footwear | Fashion Collection,The white footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,White Footwear designed for everyday wear with a modern fashion-forward look.,The white footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,White Footwear designed for everyday wear with a modern fashion-forward look.,,White,,,,,White Footwear designed for everyday wear with a modern fashion-forward look.,White Footwear,,
ADELINE-03,ADELINE-03-BLACK,Adult,Black,,ADELINE-03-BLACK.jpg,Black Footwear,Women,"footwear, black, shoes, fashion",Black Footwear | Fashion Collection,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/black-footwear,Black Footwear | Fashion Collection,Black Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Black,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, black, shoes, fashion",Black Footwear | Fashion Collection,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Black Footwear designed for everyday wear with a modern fashion-forward look.,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Black Footwear designed for everyday wear with a modern fashion-forward look.,,Black,,,,,Black Footwear designed for everyday wear with a modern fashion-forward look.,Black Footwear,,
ADELINE-03,ADELINE-03-BLUE,Adult,Blue,,ADELINE-03-BLUE.jpg,Blue Footwear,Women,"footwear, blue, shoes, fashion",Blue Footwear | Fashion Collection,The blue footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/blue-footwear,Blue Footwear | Fashion Collection,Blue Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Blue,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The blue footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be ,"footwear, blue, shoes, fashion",Blue Footwear | Fashion Collection,The blue footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Blue Footwear designed for everyday wear with a modern fashion-forward look.,The blue footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Blue Footwear designed for everyday wear with a modern fashion-forward look.,,Blue,,,,,Blue Footwear designed for everyday wear with a modern fashion-forward look.,Blue Footwear,,
