SKU,FNSku,Condition,Brand,Manufacturer,ProductTitle,LongDescription,ShortDescription,Subtitle,ASIN,UPC,EAN,ISBN,MPN,Price,MAPPrice,MSRP,BundleType,ProductType,VariationVaryBy,CopyToChildren,MultipackQuantity,VariationParentSKU,SubStyleCode,IsInRelationship,NetWeight,GrossWeight,DimensionUnit,WeightUnit,ProductHeight,ProductLength,ProductWidth,BoxHeight,BoxLength,BoxWidth,HarmonizedCode,IsBlocked,Warranty,ClassificationNum,Gender,AgeGroup,NRFDepartment,CountryOfOrigin,OriginalUPC,CustomerProductSKU,VariationSet,StyleStatus,StyleType,Description,StyleCode,ParentStyleCode,ProductStyleCode,ColorPatternCode,ColorPatternCodeId,SizeType,SizeCode,SizeCodeId,WidthCode,WidthCodeId,LengthCode,LengthCodeId,ClassCode,SubClassCode,DepartmentCode,DivisionCode,OEMCode,AlternateCode,Remark,Model,CatalogPage,CategoryCode,GroupCode,SubGroupCode,ProductStatus,PriceRule,Stockable,Taxable,Costable,IsProfit,Currency,UOM,QtyPerPallot,QtyPerCase,QtyPerBox,PackType,PackQty,DefaultPackType,DefaultVendorCode,PoSize,MinStock,LeadTimeDay,ProductYear,MaterialsContent,CareInstructions,ColorCodeNRF,ColorGroupNRF,SizeCodeNRF,SizePrimaryNRF,SizeSecondaryNRF,SizeHeadingNRF,SizeHeading2NRF,CategoryNRF,SubCategoryNRF,DropshipPrice,CRVPrice,ColorDesc,SizeDesc,WidthDesc,LengthDesc,PrepackCode,PrepackQty,AddWarehouse,AddAvaQty,ShipLeadTimeDay,ShipHandlingFee,ReceiveHandlingFee,ReturnHandlingFee,StorageFee,DisableDropshipReturn,OptionName1,OptionName2,OptionName3,OptionName4,OptionName5,OptionValue1,OptionValue2,OptionValue3,OptionValue4,OptionValue5,DropshipCategoryCode,DropshipCategoryCodePath,Barcode,Tags
173451-1183CITIZEN-1-34,,0,Standards & Practices,Vibes,Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,"These darling blue jeans feature a rolled cuff that makes them feel both modern and classic. These premium skinny jeans have subtle whiskering on the front, and the 5-pocket jeans are detailed by bronze buttons. Wear this style with a statement white poplin for a crisp weekend look that's chic all year.",Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,809666377736,,,,24,0,68,0,1,,0,0,173451,173451-1183CITIZEN,0,2,1.4,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,,173451,,,1183CITIZEN,1183 CITIZEN,Regular,1,JUNIOR-1,STD,,34,JUNIOR-34,JUNIOR,02,01,,,,,,,BOTTOM,,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
173451-1183CITIZEN-3-34,,0,Standards & Practices,Vibes,Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,"These darling blue jeans feature a rolled cuff that makes them feel both modern and classic. These premium skinny jeans have subtle whiskering on the front, and the 5-pocket jeans are detailed by bronze buttons. Wear this style with a statement white poplin for a crisp weekend look that's chic all year.",Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,809666377743,,,,24,0,68,0,1,,0,0,173451,173451-1183CITIZEN,0,2,1.4,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,,173451,,,1183CITIZEN,1183 CITIZEN,Regular,3,JUNIOR-3,STD,,34,JUNIOR-34,JUNIOR,02,01,,,,,,,BOTTOM,,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
173451-1183CITIZEN-5-34,,0,Standards & Practices,Vibes,Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,"These darling blue jeans feature a rolled cuff that makes them feel both modern and classic. These premium skinny jeans have subtle whiskering on the front, and the 5-pocket jeans are detailed by bronze buttons. Wear this style with a statement white poplin for a crisp weekend look that's chic all year.",Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,809666377750,,,,24,0,68,0,1,,0,0,173451,173451-1183CITIZEN,0,2,1.4,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,,173451,,,1183CITIZEN,1183 CITIZEN,Regular,5,JUNIOR-5,STD,,34,JUNIOR-34,JUNIOR,02,01,,,,,,,BOTTOM,,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
173451-1183CITIZEN-7-34,,0,Standards & Practices,Vibes,Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,"These darling blue jeans feature a rolled cuff that makes them feel both modern and classic. These premium skinny jeans have subtle whiskering on the front, and the 5-pocket jeans are detailed by bronze buttons. Wear this style with a statement white poplin for a crisp weekend look that's chic all year.",Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,809666377767,,,,24,0,68,0,1,,0,0,173451,173451-1183CITIZEN,0,2,1.4,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,,173451,,,1183CITIZEN,1183 CITIZEN,Regular,7,JUNIOR-7,STD,,34,JUNIOR-34,JUNIOR,02,01,,,,,,,BOTTOM,,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
173451-1183CITIZEN-9-34,,0,Standards & Practices,Vibes,Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,"These darling blue jeans feature a rolled cuff that makes them feel both modern and classic. These premium skinny jeans have subtle whiskering on the front, and the 5-pocket jeans are detailed by bronze buttons. Wear this style with a statement white poplin for a crisp weekend look that's chic all year.",Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,809666377774,,,,24,0,68,0,1,,0,0,173451,173451-1183CITIZEN,0,2,1.4,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,,173451,,,1183CITIZEN,1183 CITIZEN,Regular,9,JUNIOR-9,STD,,34,JUNIOR-34,JUNIOR,02,01,,,,,,,BOTTOM,,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
173451-1183CITIZEN-11-34,,0,Standards & Practices,Vibes,Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,"These darling blue jeans feature a rolled cuff that makes them feel both modern and classic. These premium skinny jeans have subtle whiskering on the front, and the 5-pocket jeans are detailed by bronze buttons. Wear this style with a statement white poplin for a crisp weekend look that's chic all year.",Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,809666377781,,,,24,0,68,0,1,,0,0,173451,173451-1183CITIZEN,0,2,1.4,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,,173451,,,1183CITIZEN,1183 CITIZEN,Regular,11,JUNIOR-11,STD,,34,JUNIOR-34,JUNIOR,02,01,,,,,,,BOTTOM,,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
173451-1183CITIZEN-13-34,,0,Standards & Practices,Vibes,Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,"These darling blue jeans feature a rolled cuff that makes them feel both modern and classic. These premium skinny jeans have subtle whiskering on the front, and the 5-pocket jeans are detailed by bronze buttons. Wear this style with a statement white poplin for a crisp weekend look that's chic all year.",Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,809666377798,,,,24,0,68,0,1,,0,0,173451,173451-1183CITIZEN,0,2,1.4,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,,173451,,,1183CITIZEN,1183 CITIZEN,Regular,13,JUNIOR-13,STD,,34,JUNIOR-34,JUNIOR,02,01,,,,,,,BOTTOM,,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
173451-1183CITIZEN-15-34,,0,Standards & Practices,Vibes,Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,"These darling blue jeans feature a rolled cuff that makes them feel both modern and classic. These premium skinny jeans have subtle whiskering on the front, and the 5-pocket jeans are detailed by bronze buttons. Wear this style with a statement white poplin for a crisp weekend look that's chic all year.",Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,809666377804,,,,24,0,68,0,1,,0,0,173451,173451-1183CITIZEN,0,2,1.4,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,,173451,,,1183CITIZEN,1183 CITIZEN,Regular,15,JUNIOR-15,STD,,34,JUNIOR-34,JUNIOR,02,01,,,,,,,BOTTOM,,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
173451-1183CITIZEN-17-34,,0,Standards & Practices,Vibes,Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,"These darling blue jeans feature a rolled cuff that makes them feel both modern and classic. These premium skinny jeans have subtle whiskering on the front, and the 5-pocket jeans are detailed by bronze buttons. Wear this style with a statement white poplin for a crisp weekend look that's chic all year.",Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,809666377811,,,,24,0,68,0,1,,0,0,173451,173451-1183CITIZEN,0,2,1.4,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,,173451,,,1183CITIZEN,1183 CITIZEN,Regular,17,JUNIOR-17,STD,,34,JUNIOR-34,JUNIOR,02,01,,,,,,,BOTTOM,,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
173451-1183CITIZEN-19-34,,0,Standards & Practices,Vibes,Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,"These darling blue jeans feature a rolled cuff that makes them feel both modern and classic. These premium skinny jeans have subtle whiskering on the front, and the 5-pocket jeans are detailed by bronze buttons. Wear this style with a statement white poplin for a crisp weekend look that's chic all year.",Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,809666377828,,,,24,0,68,0,1,,0,0,173451,173451-1183CITIZEN,0,2,1.4,0,0,13,13,12,2,13,12,,0,,0,,,,,,,,,,,173451,,,1183CITIZEN,1183 CITIZEN,Regular,19,JUNIOR-19,STD,,34,JUNIOR-34,JUNIOR,02,01,,,,,,,BOTTOM,,,0,,FALSE,TRUE,FALSE,FALSE,USD,EA,1,1,1,,0,,,0,0,0,,,,,,,,,,,,,15,0,,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
