SKU,FNSku,Condition,Brand,Manufacturer,ProductTitle,LongDescription,ShortDescription,Subtitle,ASIN,UPC,EAN,ISBN,MPN,Price,MAPPrice,MSRP,BundleType,ProductType,VariationVaryBy,CopyToChildren,MultipackQuantity,VariationParentSKU,SubStyleCode,IsInRelationship,NetWeight,GrossWeight,DimensionUnit,WeightUnit,ProductHeight,ProductLength,ProductWidth,BoxHeight,BoxLength,BoxWidth,HarmonizedCode,IsBlocked,Warranty,ClassificationNum,Gender,AgeGroup,NRFDepartment,CountryOfOrigin,OriginalUPC,CustomerProductSKU,VariationSet,StyleStatus,StyleType,Description,StyleCode,ParentStyleCode,ProductStyleCode,ColorPatternCode,ColorPatternCodeId,SizeType,SizeCode,SizeCodeId,WidthCode,WidthCodeId,LengthCode,LengthCodeId,ClassCode,SubClassCode,DepartmentCode,DivisionCode,OEMCode,AlternateCode,Remark,Model,CatalogPage,CategoryCode,GroupCode,SubGroupCode,ProductStatus,PriceRule,Stockable,Taxable,Costable,IsProfit,Currency,UOM,QtyPerPallot,QtyPerCase,QtyPerBox,PackType,PackQty,DefaultPackType,DefaultVendorCode,PoSize,MinStock,LeadTimeDay,ProductYear,MaterialsContent,CareInstructions,ColorCodeNRF,ColorGroupNRF,SizeCodeNRF,SizePrimaryNRF,SizeSecondaryNRF,SizeHeadingNRF,SizeHeading2NRF,CategoryNRF,SubCategoryNRF,DropshipPrice,CRVPrice,ColorDesc,SizeDesc,WidthDesc,LengthDesc,PrepackCode,PrepackQty,AddWarehouse,AddAvaQty,ShipLeadTimeDay,ShipHandlingFee,ReceiveHandlingFee,ReturnHandlingFee,StorageFee,DisableDropshipReturn,OptionName1,OptionName2,OptionName3,OptionName4,OptionName5,OptionValue1,OptionValue2,OptionValue3,OptionValue4,OptionValue5,DropshipCategoryCode,DropshipCategoryCodePath,Barcode,Tags
FA16023WV-MIDNIGHTBLUE-XS-STD,,0,Standards & Practices,Vibes Base,Olivia Woven GGT Midnight Blue Kimono Wrap Maxi Dress,"Effortless and ethereal, our kimono wrap dress offers a flowy and comfortable maxi dress that can be worn on any occasion. This long dress is made of grey chiffon that transitions well from season to season. It features a sophisticated v-neckline, elegant wide sleeves, and a wrap tie that flatters the waist.",Double GGT wrap maxi kimono dress with two-toned sash,GGT wrap kimono maxi dress,,809666300970,,,,39,0,98,0,1,,0,0,FA16023WV,FA16023WV-MIDNIGHTBLUE,1,1.5,1.5,0,0,2,12,11,2,12,11,,0,,0,,,,,,,,,,GGT wrap kimono maxi dress,FA16023WV,,,MIDNIGHTBLUE,10126,Regular,XS,UNISEX-XS,STD,,STD,UNISEX-STD,UNISEX,Maxi Dress,Women,Contemporary Brand,,,,,,DRESS,FALL,Short Sleeve,0,,FALSE,TRUE,FALSE,FALSE,,EA,1,1,1,,0,,,0,0,0,2022,,,,,,,,,,,,22.5,0,Midnight Blue,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA16023WV-MIDNIGHTBLUE-S-STD,,0,Standards & Practices,Vibes Base,Olivia Woven GGT Midnight Blue Kimono Wrap Maxi Dress,"Effortless and ethereal, our kimono wrap dress offers a flowy and comfortable maxi dress that can be worn on any occasion. This long dress is made of grey chiffon that transitions well from season to season. It features a sophisticated v-neckline, elegant wide sleeves, and a wrap tie that flatters the waist.",Double GGT wrap maxi kimono dress with two-toned sash,GGT wrap kimono maxi dress,,809666795714,,,,39,0,98,0,1,,0,0,FA16023WV,FA16023WV-MIDNIGHTBLUE,1,1.5,1.5,0,0,2,12,11,2,12,11,,0,,0,,,,,,,,,,GGT wrap kimono maxi dress,FA16023WV,,,MIDNIGHTBLUE,10126,Regular,S,UNISEX-S,STD,,STD,UNISEX-STD,UNISEX,Maxi Dress,Women,Contemporary Brand,,,,,,DRESS,FALL,Short Sleeve,0,,FALSE,TRUE,FALSE,FALSE,,EA,1,1,1,,0,,,0,0,0,2022,,,,,,,,,,,,22.5,0,Midnight Blue,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA16023WV-MIDNIGHTBLUE-M-STD,,0,Standards & Practices,Vibes Base,Olivia Woven GGT Midnight Blue Kimono Wrap Maxi Dress,"Effortless and ethereal, our kimono wrap dress offers a flowy and comfortable maxi dress that can be worn on any occasion. This long dress is made of grey chiffon that transitions well from season to season. It features a sophisticated v-neckline, elegant wide sleeves, and a wrap tie that flatters the waist.",Double GGT wrap maxi kimono dress with two-toned sash,GGT wrap kimono maxi dress,,809666795721,,,,39,0,98,0,1,,0,0,FA16023WV,FA16023WV-MIDNIGHTBLUE,1,1.5,1.5,0,0,2,12,11,2,12,11,,0,,0,,,,,,,,,,GGT wrap kimono maxi dress,FA16023WV,,,MIDNIGHTBLUE,10126,Regular,M,UNISEX-M,STD,,STD,UNISEX-STD,UNISEX,Maxi Dress,Women,Contemporary Brand,,,,,,DRESS,FALL,Short Sleeve,0,,FALSE,TRUE,FALSE,FALSE,,EA,1,1,1,,0,,,0,0,0,2022,,,,,,,,,,,,22.5,0,Midnight Blue,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA16023WV-MIDNIGHTBLUE-L-STD,,0,Standards & Practices,Vibes Base,Olivia Woven GGT Midnight Blue Kimono Wrap Maxi Dress,"Effortless and ethereal, our kimono wrap dress offers a flowy and comfortable maxi dress that can be worn on any occasion. This long dress is made of grey chiffon that transitions well from season to season. It features a sophisticated v-neckline, elegant wide sleeves, and a wrap tie that flatters the waist.",Double GGT wrap maxi kimono dress with two-toned sash,GGT wrap kimono maxi dress,,809666795738,,,,39,0,98,0,1,,0,0,FA16023WV,FA16023WV-MIDNIGHTBLUE,1,1.5,1.5,0,0,2,12,11,2,12,11,,0,,0,,,,,,,,,,GGT wrap kimono maxi dress,FA16023WV,,,MIDNIGHTBLUE,10126,Regular,L,UNISEX-L,STD,,STD,UNISEX-STD,UNISEX,Maxi Dress,Women,Contemporary Brand,,,,,,DRESS,FALL,Short Sleeve,0,,FALSE,TRUE,FALSE,FALSE,,EA,1,1,1,,0,,,0,0,0,2022,,,,,,,,,,,,22.5,0,Midnight Blue,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA16023WV-MIDNIGHTBLUE-XL-STD,,0,Standards & Practices,Vibes Base,Olivia Woven GGT Midnight Blue Kimono Wrap Maxi Dress,"Effortless and ethereal, our kimono wrap dress offers a flowy and comfortable maxi dress that can be worn on any occasion. This long dress is made of grey chiffon that transitions well from season to season. It features a sophisticated v-neckline, elegant wide sleeves, and a wrap tie that flatters the waist.",Double GGT wrap maxi kimono dress with two-toned sash,GGT wrap kimono maxi dress,,809666795745,,,,39,0,98,0,1,,0,0,FA16023WV,FA16023WV-MIDNIGHTBLUE,1,1.5,1.5,0,0,2,12,11,2,12,11,,0,,0,,,,,,,,,,GGT wrap kimono maxi dress,FA16023WV,,,MIDNIGHTBLUE,10126,Regular,XL,UNISEX-XL,STD,,STD,UNISEX-STD,UNISEX,Maxi Dress,Women,Contemporary Brand,,,,,,DRESS,FALL,Short Sleeve,0,,FALSE,TRUE,FALSE,FALSE,,EA,1,1,1,,0,,,0,0,0,2022,,,,,,,,,,,,22.5,0,Midnight Blue,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA16023WV-MIDNIGHTCAMO-S-STD,,0,Standards & Practices,Vibes Base,Olivia Woven Chiffon Camo Print Kimono Wrap Maxi Dress,Double printed chiffon wrap maxi kimono dress with two-toned sash,Double printed chiffon wrap maxi kimono dress with two-toned sash,GGT wrap kimono maxi dress,,809666795752,,,,39,0,98,0,1,,0,0,FA16023WV,FA16023WV-MIDNIGHTCAMO,1,1.5,1.5,0,0,2,12,11,2,12,11,,0,,0,,,,,,,,,,GGT wrap kimono maxi dress,FA16023WV,,,MIDNIGHTCAMO,10134,Regular,S,UNISEX-S,STD,,STD,UNISEX-STD,UNISEX,Maxi Dress,Women,Contemporary Brand,,,,,,DRESS,FALL,Short Sleeve,0,,FALSE,TRUE,FALSE,FALSE,,EA,1,1,1,,0,,,0,0,0,2022,,,,,,,,,,,,22.5,0,Midnight Camo,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA16023WV-MIDNIGHTCAMO-M-STD,,0,Standards & Practices,Vibes Base,Olivia Woven Chiffon Camo Print Kimono Wrap Maxi Dress,Double printed chiffon wrap maxi kimono dress with two-toned sash,Double printed chiffon wrap maxi kimono dress with two-toned sash,GGT wrap kimono maxi dress,,809666795769,,,,39,0,98,0,1,,0,0,FA16023WV,FA16023WV-MIDNIGHTCAMO,1,1.5,1.5,0,0,2,12,11,2,12,11,,0,,0,,,,,,,,,,GGT wrap kimono maxi dress,FA16023WV,,,MIDNIGHTCAMO,10134,Regular,M,UNISEX-M,STD,,STD,UNISEX-STD,UNISEX,Maxi Dress,Women,Contemporary Brand,,,,,,DRESS,FALL,Short Sleeve,0,,FALSE,TRUE,FALSE,FALSE,,EA,1,1,1,,0,,,0,0,0,2022,,,,,,,,,,,,22.5,0,Midnight Camo,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA16023WV-MIDNIGHTCAMO-L-STD,,0,Standards & Practices,Vibes Base,Olivia Woven Chiffon Camo Print Kimono Wrap Maxi Dress,Double printed chiffon wrap maxi kimono dress with two-toned sash,Double printed chiffon wrap maxi kimono dress with two-toned sash,GGT wrap kimono maxi dress,,809666795776,,,,39,0,98,0,1,,0,0,FA16023WV,FA16023WV-MIDNIGHTCAMO,1,1.5,1.5,0,0,2,12,11,2,12,11,,0,,0,,,,,,,,,,GGT wrap kimono maxi dress,FA16023WV,,,MIDNIGHTCAMO,10134,Regular,L,UNISEX-L,STD,,STD,UNISEX-STD,UNISEX,Maxi Dress,Women,Contemporary Brand,,,,,,DRESS,FALL,Short Sleeve,0,,FALSE,TRUE,FALSE,FALSE,,EA,1,1,1,,0,,,0,0,0,2022,,,,,,,,,,,,22.5,0,Midnight Camo,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA16023WV-MIDNIGHTCAMO-XL-STD,,0,Standards & Practices,Vibes Base,Olivia Woven Chiffon Camo Print Kimono Wrap Maxi Dress,Double printed chiffon wrap maxi kimono dress with two-toned sash,Double printed chiffon wrap maxi kimono dress with two-toned sash,GGT wrap kimono maxi dress,,809666795783,,,,39,0,98,0,1,,0,0,FA16023WV,FA16023WV-MIDNIGHTCAMO,1,1.5,1.5,0,0,2,12,11,2,12,11,,0,,0,,,,,,,,,,GGT wrap kimono maxi dress,FA16023WV,,,MIDNIGHTCAMO,10134,Regular,XL,UNISEX-XL,STD,,STD,UNISEX-STD,UNISEX,Maxi Dress,Women,Contemporary Brand,,,,,,DRESS,FALL,Short Sleeve,0,,FALSE,TRUE,FALSE,FALSE,,EA,1,1,1,,0,,,0,0,0,2022,,,,,,,,,,,,22.5,0,Midnight Camo,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
FA16023WV-SLATE-S-STD,,0,Standards & Practices,Vibes Base,Olivia Slate Blue Chiffon Kimono Wrap Dress,"Effortless and ethereal, our Olivia kimono wrap dress offers a flowy and comfortable maxi dress that can be worn on any occasion. This long dress is made of grey chiffon that transitions well from season to season. It features a sophisticated v-neckline, elegant wide sleeves, and a wrap tie that flatters the waist.",Women's chiffon kimono maxi dress with v-neckline. Wide sleeved. Features wrap tie.,GGT wrap kimono maxi dress,,809666901092,,,,39,0,98,0,1,,0,0,FA16023WV,FA16023WV-SLATE,1,1.5,1.5,0,0,2,12,11,2,12,11,,0,,0,,,,,,,,,,GGT wrap kimono maxi dress,FA16023WV,,,SLATE,10131,Regular,S,UNISEX-S,STD,,STD,UNISEX-STD,UNISEX,Maxi Dress,Women,Contemporary Brand,,,,,,DRESS,FALL,Short Sleeve,0,,FALSE,TRUE,FALSE,FALSE,,EA,1,1,1,,0,,,0,0,0,2022,,,,,,,,,,,,22.5,0,Slate,,,,,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
