CustomerCode, CustomerName, Contact, Contact2, Contact3, Phone1, Phone2, Phone3, Phone4, Email, WebSite, FirstDate, Currency, CreditLimit, DiscountRate, Area, Region, Terms, TermsDays, SalesRep, SalesRep2, CommissionRate, CommissionRate2, BillName, BillCompany, BillAddressLine1, BillAddressLine2, BillCity, BillState, BillPostalCode, BillCounty, BillCountry, BillEmail, BillDaytimePhone, BillDescription, ShipName, ShipCompany, ShipAddressLine1, ShipAddressLine2, ShipCity, ShipState, ShipPostalCode, ShipCounty, ShipCountry, ShipEmail, ShipDaytimePhone, ShipDescription
AMZ-eCom, AMZ eCom, Alex Reed, Nora Lane, Ava Quinn, (213) 555-1001, (213) 555-1002, (213) 555-1003, (213) 555-1004, amz-ecom@customers.example.com, www.amz-ecom-shop.example.com, 2024-01-15, USD,45000,0.02, West, CA-South, Net30,30, Sam Lee, Rina Patel,0.03,0.01, AMZ eCom Billing, AMZ eCom Retail, 101 Sunset Blvd, Suite 110, Los Angeles, CA,90001, Los Angeles, USA, billing-amz-ecom@example.com, (213) 555-1005, Primary billing profile, AMZ eCom Shipping, AMZ eCom Retail, 201 Harbor Ave, Dock 1, Los Angeles, CA,90002, Los Angeles, USA, ship-amz-ecom@example.com, (213) 555-1006, Main ship location
Veeqo-Amazon, Veeqo Amazon, Jamie Clark, Owen Pike, Ben Ryder, (949) 555-1101, (949) 555-1102, (949) 555-1103, (949) 555-1104, veeqo-amazon@customers.example.com, www.veeqo-amazon-shop.example.com, 2024-01-16, USD,52000,0.05, West, CA-Coast, Net45,45, Sam Lee, Rina Patel,0.04,0.02, Veeqo Amazon Billing, Veeqo Amazon Retail, 102 Innovation Dr, Suite 120, Irvine, CA,92602, Orange, USA, billing-veeqo-amazon@example.com, (949) 555-1105, Regional billing profile, Veeqo Amazon Shipping, Veeqo Amazon Retail, 202 Distribution Way, Dock 2, Irvine, CA,92603, Orange, USA, ship-veeqo-amazon@example.com, (949) 555-1106, Regional ship location
eBay, eBay, Morgan Lee, Quentin Hale, Diego Trent, (408) 555-1301, (408) 555-1302, (408) 555-1303, (408) 555-1304, ebay@customers.example.com, www.ebay-market.example.com, 2024-01-18, USD,76000,0, West, CA-North, Net30,30, Dana Ross, Eli Grant,0.02,0.01, eBay Billing, eBay Commerce, 104 Orchard St, Suite 140, San Jose, CA,95110, Santa Clara, USA, billing-ebay@example.com, (408) 555-1305, Standard billing profile, eBay Shipping, eBay Commerce, 204 Fulfillment Ave, Dock 4, San Jose, CA,95111, Santa Clara, USA, ship-ebay@example.com, (408) 555-1306, Standard ship location
Etsy-LS, Etsy LS, Alex Reed, Rhea Moss, Ema Underwood, (415) 555-1401, (415) 555-1402, (415) 555-1403, (415) 555-1404, etsy-ls@customers.example.com, www.etsy-ls-market.example.com, 2024-01-19, USD,34000,0.02, West, BayArea, Net45,45, Sam Lee, Eli Grant,0.03,0.02, Etsy LS Billing, Etsy LS Marketplace, 105 Market St, Suite 150, San Francisco, CA,94102, San Francisco, USA, billing-etsy-ls@example.com, (415) 555-1405, Marketplace billing profile, Etsy LS Shipping, Etsy LS Marketplace, 205 Mission St, Dock 5, San Francisco, CA,94103, San Francisco, USA, ship-etsy-ls@example.com, (415) 555-1406, Marketplace ship location
Etsy-VS, Etsy VS, Jamie Clark, Soren Vale, Finn Voss, (213) 555-1501, (213) 555-1502, (213) 555-1503, (213) 555-1504, etsy-vs@customers.example.com, www.etsy-vs-market.example.com, 2024-01-20, USD,39000,0.05, West, CA-South, Net60,60, Rina Patel, Dana Ross,0.04,0.02, Etsy VS Billing, Etsy VS Marketplace, 106 Broadway Ave, Suite 160, Los Angeles, CA,90003, Los Angeles, USA, billing-etsy-vs@example.com, (213) 555-1505, Seasonal billing profile, Etsy VS Shipping, Etsy VS Marketplace, 206 Pacific Hwy, Dock 6, Los Angeles, CA,90004, Los Angeles, USA, ship-etsy-vs@example.com, (213) 555-1506, Seasonal ship location
JCPenney, JCPenney, Alex Reed, Zane Holt, Mina Cross, (619) 555-2201, (619) 555-2202, (619) 555-2203, (619) 555-2204, jcpenney@customers.example.com, www.jcpenney-retail.example.com, 2024-01-27, USD,73000,0.08, West, CA-South, Net30,30, Rina Patel, Dana Ross,0.04,0.01, JCPenney Billing, JCPenney Stores, 113 Coastal Rd, Suite 230, San Diego, CA,92105, San Diego, USA, billing-jcpenney@example.com, (619) 555-2205, Retail billing profile, JCPenney Shipping, JCPenney Stores, 213 Gateway Rd, Dock 13, San Diego, CA,92106, San Diego, USA, ship-jcpenney@example.com, (619) 555-2206, Retail ship location
Mirakl-Kohls, Mirakl Kohls, Jamie Clark, Asha Ives, Noah Drake, (408) 555-2301, (408) 555-2302, (408) 555-2303, (408) 555-2304, mirakl-kohls@customers.example.com, www.mirakl-kohls-market.example.com, 2024-01-28, USD,57000,0.05, West, CA-North, Net45,45, Eli Grant, Sam Lee,0.03,0.02, Mirakl Kohls Billing, Mirakl Kohls Network, 114 River Oaks Pkwy, Suite 240, San Jose, CA,95114, Santa Clara, USA, billing-mirakl-kohls@example.com, (408) 555-2305, Partner billing profile, Mirakl Kohls Shipping, Mirakl Kohls Network, 214 Silver Creek Rd, Dock 14, San Jose, CA,95115, Santa Clara, USA, ship-mirakl-kohls@example.com, (408) 555-2306, Partner ship location
Macys, Macys, Taylor Kim, Blake Jett, Opal Evans, (415) 555-2401, (415) 555-2402, (415) 555-2403, (415) 555-2404, macys@customers.example.com, www.macys-retail.example.com, 2024-01-29, USD,79000,0.1, West, BayArea, Net60,60, Dana Ross, Eli Grant,0.06,0.03, Macys Billing, Macys Stores, 115 Embarcadero St, Suite 250, San Francisco, CA,94106, San Francisco, USA, billing-macys@example.com, (415) 555-2405, Department billing profile, Macys Shipping, Macys Stores, 215 King St, Dock 15, San Francisco, CA,94107, San Francisco, USA, ship-macys@example.com, (415) 555-2406, Department ship location
Magento, Magento, Morgan Lee, Cora Knox, Pax Flynn, (213) 555-2501, (213) 555-2502, (213) 555-2503, (213) 555-2504, magento@customers.example.com, www.magento-platform.example.com, 2024-01-30, USD,66000,0, West, CA-South, Net30,30, Sam Lee, Rina Patel,0.02,0.01, Magento Billing, Magento Platform, 116 Wilshire Blvd, Suite 260, Los Angeles, CA,90007, Los Angeles, USA, billing-magento@example.com, (213) 555-2505, Platform billing profile, Magento Shipping, Magento Platform, 216 Century Blvd, Dock 16, Los Angeles, CA,90008, Los Angeles, USA, ship-magento@example.com, (213) 555-2506, Platform ship location
Shopify, Shopify, Alex Reed, Dario Lowe, Rina Grove, (949) 555-2601, (949) 555-2602, (949) 555-2603, (949) 555-2604, shopify@customers.example.com, www.shopify-commerce.example.com, 2024-01-31, USD,102000,0.05, West, CA-Coast, Net45,45, Eli Grant, Dana Ross,0.07,0.04, Shopify Billing, Shopify Commerce, 117 Alton Pkwy, Suite 270, Irvine, CA,92608, Orange, USA, billing-shopify@example.com, (949) 555-2605, Commerce billing profile, Shopify Shipping, Shopify Commerce, 217 Barranca Pkwy, Dock 17, Irvine, CA,92609, Orange, USA, ship-shopify@example.com, (949) 555-2606, Commerce ship location
